#   X     Y     Z      S       D
   107   195   150  3.5526  0.9912
   106   198   157  3.5495  0.9833
   111   201   150  3.5471  0.9891
   106   202   157  3.5417  0.9802
   112   203   151  3.5393  0.9849
   108   194   150  3.5329  0.9834
   107   201   150  3.5327  0.9833
   113   194   150  3.5319  0.9830
   106   202   154  3.5282  0.9776
   106   202   153  3.5277  0.9784
   110   193   154  3.5266  0.9770
   111   193   154  3.5204  0.9746
   109   193   154  3.5181  0.9737
   110   203   152  3.5170  0.9752
   106   194   154  3.5148  0.9724
   106   196   150  3.5124  0.9753
   108   193   152  3.5105  0.9726
   106   197   157  3.5065  0.9664
   112   201   150  3.5062  0.9729
   106   196   153  3.5056  0.9697
   115   199   150  3.5032  0.9717
   112   193   154  3.5011  0.9670
   114   200   150  3.4989  0.9700
   107   193   152  3.4987  0.9680
   109   193   152  3.4975  0.9675
   116   201   151  3.4958  0.9678
   112   193   151  3.4934  0.9669
   108   193   154  3.4919  0.9634
   108   203   153  3.4868  0.9624
   106   201   150  3.4837  0.9640
   109   203   153  3.4833  0.9610
   116   202   155  3.4805  0.9581
   115   195   150  3.4804  0.9627
   113   203   151  3.4777  0.9607
   107   203   153  3.4707  0.9561
   110   193   150  3.4688  0.9582
   113   193   154  3.4679  0.9541
   115   203   155  3.4666  0.9527
   110   193   152  3.4639  0.9544
   116   197   150  3.4637  0.9562
   111   193   150  3.4619  0.9555
   106   193   152  3.4611  0.9533
   110   203   153  3.4589  0.9515
   107   202   157  3.4578  0.9475
   116   196   151  3.4563  0.9524
   114   194   150  3.4541  0.9525
   106   196   157  3.4500  0.9445
   107   193   154  3.4452  0.9453
   109   193   150  3.4434  0.9483
   113   201   150  3.4424  0.9479
   109   202   150  3.4410  0.9473
   116   198   150  3.4405  0.9472
   108   202   150  3.4393  0.9467
   106   203   153  3.4364  0.9428
   116   196   150  3.4351  0.9451
   107   194   150  3.4332  0.9443
   110   202   150  3.4283  0.9424
   112   193   150  3.4276  0.9421
   107   202   150  3.4229  0.9403
   106   195   150  3.4208  0.9395
   114   193   154  3.4182  0.9348
   111   193   152  3.4145  0.9352
   111   203   152  3.4124  0.9344
   111   203   153  3.4123  0.9335
   114   203   151  3.4056  0.9327
   111   202   150  3.3994  0.9313
   106   202   150  3.3892  0.9273
   115   200   150  3.3876  0.9267
   106   195   153  3.3859  0.9233
   108   193   150  3.3830  0.9250
   106   195   157  3.3803  0.9177
   113   193   151  3.3789  0.9225
   106   193   154  3.3770  0.9190
   116   202   151  3.3716  0.9196
   113   193   150  3.3710  0.9204
   116   199   150  3.3668  0.9187
   108   202   157  3.3630  0.9112
   116   195   150  3.3588  0.9157
   115   194   150  3.3577  0.9153
   112   193   152  3.3535  0.9118
   114   201   150  3.3532  0.9135
   112   202   150  3.3510  0.9127
   115   193   154  3.3489  0.9083
   107   203   154  3.3467  0.9075
   112   203   153  3.3420  0.9066
   106   203   154  3.3339  0.9026
   116   195   151  3.3231  0.9012
   108   203   154  3.3218  0.8981
   115   203   151  3.3195  0.8998
   116   195   154  3.3106  0.8938
   106   197   156  3.3085  0.8914
   112   203   152  3.3055  0.8936
   106   194   150  3.3039  0.8948
   108   203   150  3.3026  0.8943
   116   194   154  3.3020  0.8906
   106   198   156  3.2994  0.8880
   106   194   157  3.2968  0.8862
   114   193   150  3.2965  0.8920
   109   203   150  3.2962  0.8919
   107   203   150  3.2958  0.8917
   107   193   150  3.2893  0.8893
   116   196   154  3.2868  0.8849
   116   203   155  3.2862  0.8839
   106   196   156  3.2826  0.8817
   113   193   152  3.2825  0.8850
   113   202   150  3.2800  0.8858
   110   203   150  3.2761  0.8843
   106   203   150  3.2743  0.8836
   109   203   154  3.2639  0.8763
   109   202   157  3.2618  0.8732
   110   193   153  3.2590  0.8753
   116   193   154  3.2580  0.8741
   114   193   151  3.2556  0.8757
   106   199   156  3.2542  0.8711
   109   193   153  3.2517  0.8726
   116   200   150  3.2492  0.8742
   113   203   153  3.2472  0.8709
   116   194   150  3.2443  0.8724
   106   194   153  3.2414  0.8688
   111   203   150  3.2395  0.8706
   115   201   150  3.2379  0.8700
   111   193   153  3.2376  0.8674
   116   197   154  3.2344  0.8653
   106   195   156  3.2242  0.8600
   108   193   153  3.2169  0.8596
   116   203   151  3.2161  0.8610
   115   193   150  3.2067  0.8584
   116   198   152  3.2045  0.8559
   114   193   152  3.2012  0.8547
   106   193   157  3.1990  0.8499
   116   197   152  3.1990  0.8539
   113   203   152  3.1962  0.8528
   112   193   153  3.1881  0.8490
   116   199   152  3.1847  0.8486
   114   202   150  3.1847  0.8502
   116   198   153  3.1846  0.8477
   112   203   150  3.1833  0.8497
   110   200   157  3.1816  0.8436
   110   203   154  3.1800  0.8453
   110   201   157  3.1789  0.8426
   106   200   156  3.1736  0.8414
   116   199   153  3.1732  0.8435
   116   196   152  3.1724  0.8441
   106   193   150  3.1685  0.8443
   110   199   157  3.1680  0.8386
   116   194   151  3.1636  0.8417
   116   197   153  3.1593  0.8384
   110   202   157  3.1584  0.8351
   107   193   153  3.1581  0.8380
   116   198   154  3.1565  0.8366
   110   198   157  3.1385  0.8278
   106   194   156  3.1379  0.8283
   116   200   152  3.1365  0.8309
   116   195   152  3.1289  0.8281
   114   203   153  3.1281  0.8271
   116   200   153  3.1267  0.8266
   115   193   151  3.1248  0.8274
   113   193   153  3.1122  0.8213
   115   193   152  3.1079  0.8205
   113   203   150  3.1048  0.8210
   116   193   150  3.1039  0.8206
   116   196   153  3.0982  0.8162
   116   201   150  3.0978  0.8184
   110   197   157  3.0929  0.8113
   106   193   153  3.0816  0.8102
   114   203   152  3.0812  0.8109
   111   203   154  3.0779  0.8081
   116   194   152  3.0714  0.8073
   107   193   157  3.0684  0.8026
   115   202   150  3.0653  0.8066
   106   201   156  3.0602  0.8003
   116   201   152  3.0585  0.8027
   116   199   154  3.0559  0.8002
   116   201   153  3.0492  0.7986
   106   193   156  3.0306  0.7898
   110   196   157  3.0303  0.7890
   114   193   153  3.0122  0.7854
   116   195   153  3.0051  0.7829
   114   203   150  3.0035  0.7845
   116   193   152  3.0009  0.7821
   108   198   149  4.2262  1.2792
   107   198   149  4.2183  1.2756
